N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
163,HDC현대산업개발,"25,800",800,+3.20%,"5,000","17,004","65,907",10.09,"869,499",5.61,8.85,
164,오뚜기,"463,000","14,500",+3.23%,"5,000","17,001","3,672",11.66,"6,819",15.37,7.93,
165,동국제강,"17,800",450,-2.47%,"5,000","16,987","95,433",22.35,"1,098,707",3.76,3.35,
166,JB금융지주,"8,600",260,+3.12%,"5,000","16,941","196,983",41.83,"878,487",3.55,10.06,
167,대웅제약,"144,500","1,500",+1.05%,"2,500","16,743","11,587",6.51,"26,314",145.08,2.38,
168,LS ELECTRIC,"55,200",300,+0.55%,"5,000","16,560","30,000",17.81,"61,391",20.44,6.15,
169,현대엘리베이,"40,500",350,-0.86%,"5,000","16,530","40,815",28.41,"111,567",26.10,9.78,
170,DGB금융지주,"9,730",240,+2.53%,"5,000","16,458","169,146",48.85,"809,712",3.48,6.93,
171,KODEX 단기채권,"103,125",0,0.00%,0,"16,366","15,870",0.00,"30,422",N/A,N/A,
172,한전KPS,"36,300",200,+0.55%,200,"16,335","45,000",6.61,"292,691",13.52,8.23,
173,동원시스템즈,"52,900","1,300",+2.52%,"5,000","15,441","29,188",13.30,"65,336",23.96,10.97,
174,한일시멘트,"22,000",50,+0.23%,500,"15,238","69,262",2.88,"1,160,583",14.49,N/A,
175,신풍제약,"28,700",850,-2.88%,500,"15,207","52,985",10.31,"533,600","4,783.33",1.72,
176,PI첨단소재,"51,000","1,200",-2.30%,500,"14,977","29,366",12.90,"98,777",25.60,15.62,
177,에스엘,"30,800","1,000",-3.14%,500,"14,847","48,203",15.18,"134,910",10.21,4.74,
178,대한전선,"1,710",40,-2.29%,500,"14,646","856,473",2.72,"3,385,956",43.85,0.92,
179,명신산업,"27,900","1,000",-3.46%,500,"14,639","52,470",2.56,"446,183",-12.10,-67.39,
180,KODEX 삼성그룹,"9,725",80,-0.82%,0,"14,626","150,400",0.21,"180,943",N/A,N/A,
181,LIG넥스원,"65,800",400,-0.60%,"5,000","14,476","22,000",7.11,"151,922",15.34,8.86,
182,KODEX 종합채권(AA-이상)액티브,"107,260",55,-0.05%,0,"14,385","13,411",0.00,"5,234",N/A,N/A,
183,한국앤컴퍼니,"15,050",200,-1.31%,500,"14,288","94,935",9.59,"64,646",5.78,5.08,
184,아이에스동서,"46,000","1,250",+2.79%,500,"14,211","30,893",5.03,"180,377",26.35,10.92,
185,아시아나항공,"18,900",300,-1.56%,"5,000","14,064","74,412",7.63,"290,047",-3.25,-43.83,
186,DL,"66,100",100,-0.15%,"5,000","13,852","20,956",12.16,"68,605",2.10,11.84,
187,현대두산인프라코어,"7,000",10,-0.14%,"1,000","13,820","197,435",10.79,"1,045,256",5.99,6.47,
188,TIGER 단기통안채,"100,530",10,+0.01%,0,"13,811","13,738",0.89,"4,766",N/A,N/A,
189,케이카,"28,350",600,-2.07%,500,"13,633","48,087",18.39,"182,206",47.09,15.11,
190,롯데렌탈,"36,750",450,-1.21%,"5,000","13,463","36,634",1.54,"97,761",12.74,6.73,
191,롯데리츠,"5,470",20,-0.36%,500,"13,290","242,969",9.61,"162,191",34.19,1.68,
192,ESR켄달스퀘어리츠,"6,210",110,-1.74%,"1,000","13,233","213,089",32.24,"347,680",163.42,1.14,
193,금호타이어,"4,520",30,+0.67%,"5,000","12,984","287,260",4.19,"285,285",-18.08,-6.74,
194,태광산업,"1,156,000","15,000",+1.31%,"5,000","12,871","1,113",5.90,876,5.07,3.26,
195,진원생명과학,"16,500",500,-2.94%,"1,000","12,784","77,479",12.48,"603,550",-49.85,-30.43,
196,롯데칠성,"137,000","1,000",+0.74%,500,"12,712","9,279",9.02,"20,355",16.19,-1.00,
197,코스모신소재,"42,250","1,000",-2.31%,"1,000","12,712","30,087",6.49,"288,045",54.17,7.16,
198,대한유화,"193,500",500,-0.26%,"5,000","12,578","6,500",12.45,"43,286",6.02,6.93,
199,KODEX 2차전지산업,"21,485",510,-2.32%,0,"12,547","58,400",1.49,"1,110,286",N/A,N/A,
200,F&F홀딩스,"32,050",750,-2.29%,500,"12,536","39,114",0.76,"57,376",0.26,16.59,
201,한화투자증권,"5,720",210,-3.54%,"5,000","12,272","214,548",6.31,"2,205,016",9.61,5.58,
202,TIGER 미국테크TOP10 INDXX,"12,650",120,-0.94%,0,"12,220","96,600",0.00,"1,629,364",N/A,N/A,
203,영풍,"660,000","2,000",+0.30%,"5,000","12,157","1,842",4.08,487,10.25,4.03,
204,SK네트웍스,"4,880",15,+0.31%,"2,500","12,112","248,188",11.54,"376,281",25.82,1.63,
205,녹십자홀딩스,"25,600",150,-0.58%,500,"12,039","47,028",5.18,"78,849",8.06,19.74,
